layer,projection_margin,direction_stability_mean_cosine,direction_stability_min_cosine,is_best_probe_layer
0,0.0,0.0,0.0,False
1,0.15939748287200928,0.695944607257843,0.5391849875450134,False
2,0.34623798727989197,0.7550702095031738,0.644156813621521,False
3,0.5282818078994751,0.7534929513931274,0.6525053977966309,False
4,1.0693553686141968,0.7794679999351501,0.6460056900978088,False
5,1.1085801124572754,0.7539681792259216,0.6057328581809998,False
6,1.14638090133667,0.7598660588264465,0.6501470804214478,False
7,1.2493172883987427,0.8079325556755066,0.7273626327514648,False
8,1.413081407546997,0.8145170211791992,0.7161058783531189,False
9,1.4923334121704102,0.7911807894706726,0.6638234257698059,False
10,1.7133030891418457,0.7947553992271423,0.6617552042007446,False
11,2.448428153991699,0.8220942616462708,0.6896945834159851,False
12,2.8635239601135254,0.8753490447998047,0.8001729249954224,False
13,3.1932449340820312,0.8962427973747253,0.8321447372436523,False
14,6.071536064147949,0.9525843858718872,0.9145628213882446,False
15,6.817976951599121,0.9643584489822388,0.9331109523773193,False
16,10.391936302185059,0.9803740382194519,0.967372477054596,True
17,15.17459487915039,0.9853760004043579,0.9766101837158203,False
18,17.88646697998047,0.9854477643966675,0.9762929677963257,False
19,22.718738555908203,0.9893320202827454,0.9828116297721863,False
20,26.467159271240234,0.9895288348197937,0.9820369482040405,False
21,28.59586524963379,0.9832953214645386,0.9717239737510681,False
22,36.47732162475586,0.9823261499404907,0.9717452526092529,False
23,46.72226333618164,0.9851456880569458,0.9767868518829346,False
24,51.68914794921875,0.9843169450759888,0.9767018556594849,False
25,58.51533508300781,0.9817043542861938,0.9749691486358643,False
26,64.40475463867188,0.9808645248413086,0.9739176630973816,False
27,69.26886749267578,0.9777086973190308,0.9696415662765503,False
28,54.783363342285156,0.974897563457489,0.9649705290794373,False
