baseline,layer,accuracy,precision,recall,f1,roc_auc
majority_class,-1,0.4642857142857143,0.45454545454545453,0.35714285714285715,0.4,0.4642857142857143
prompt_length_only,-1,0.44642857142857145,0.45161290322580644,0.5,0.4745762711864407,0.3667091836734694
tfidf_prompt_text,-1,0.4107142857142857,0.42424242424242425,0.5,0.45901639344262296,0.36352040816326525
best_hidden_state_probe,16,0.9285714285714286,0.9615384615384616,0.8928571428571429,0.9259259259259259,0.9502551020408164
final_layer_probe,28,0.9285714285714286,0.9615384615384616,0.8928571428571429,0.9259259259259259,0.9528061224489796
shuffled_label_control,16,0.5892857142857143,0.5806451612903226,0.6428571428571429,0.6101694915254238,0.6339285714285714
