layer,mean_refusal_token_logit,max_refusal_token_logit
0,0.0,0.0
1,0.0019688355470342295,0.03292730078101158
2,0.01134091748722962,0.03969888389110565
3,0.00972927241985287,0.04145905748009682
4,0.012704171839037113,0.037794847041368484
5,0.006628901232033968,0.029351241886615753
6,0.020348786243370602,0.04929646849632263
7,0.0033669985298599514,0.03129223361611366
8,0.006572139183325427,0.03142812103033066
9,-0.009711415373853274,0.022332198917865753
10,-0.019388809401009763,0.017686445266008377
11,-0.004164967153753553,0.047467876225709915
12,-0.0021710978554827826,0.03686914220452309
13,0.006664392538368702,0.04483471065759659
14,0.012423622554966382,0.05835482478141785
15,0.008797576917069299,0.051482073962688446
16,0.03130043590707438,0.08145899325609207
17,0.03311777859926224,0.08089424669742584
18,0.03254363978547709,0.0788407176733017
19,0.04201916924544743,0.08319434523582458
20,0.06163484676341925,0.10822061449289322
21,0.06188622223479407,0.1179681271314621
22,0.08213462680578232,0.1402137279510498
23,0.1033781294577888,0.2299574911594391
24,0.09020289665620242,0.20825152099132538
25,0.08019659501899566,0.1958375871181488
26,0.09833451573337827,0.19631817936897278
27,0.09077132187251534,0.19197289645671844
28,0.0654242719922747,0.13676762580871582
